Country;Metric;Imperial;Name;Note;Lifespan
;;;;;(age at death)
United States;272 cm;8 ft 11.1 in;Robert Wadlow;Tallest verified human in recorded history;1918–1940 (22)
United States;267 cm;8 ft 9 in;John Rogan;Second-tallest male in recorded history and tallest man of African descent in history. Weighed only 79 kg (174 lb). Unable to stand due to ankylosis.;1867–1905 (38)
United States;264 cm;8 ft 8 in;John F. Carroll;8 ft 0 in (244 cm) standing height, 8 ft 8 in (264 cm) assuming normal spinal curvature.[11];1932–1969 (37)
United States;262 cm;8 ft 7 in;Willie Camper;Billed at 8 ft 7 in (262 cm).[12];1924–1943 (18)
Austria;258 cm;8 ft 5.6 in;Franz Winkelmeier;Tallest human in European history. Measured officially at 2.58m.[13];1860–1887 (27)
Ukraine;258 cm;8 ft 5.6 in;Leonid Stadnyk;Not officially recognized by Guinness World Records because he refused to be measured according to their standards.[14][15];1970–2014 (44)
Thailand;257 cm;8 ft 5.2 in;Pornchai Saosri;Claimed to be 8 ft 10 in (269 cm).[16];1989–2015 (26)
Vietnam;257 cm;8 ft 5.25 in;Hồ Văn Trung;He was reported post mortem to be 9 ft 0.25 in (275 cm),[17] but when alive he measured at 8 ft 5.25 in (257 cm).[18];1984–2019 (34)
German Empire;256 cm;8 ft 4.8 in;Julius Koch;Probably never the world's tallest person due to his life coinciding with that of John Rogan. Skeleton preserved in the Museum of Natural History in Mons, Belgium. Tallest German person in recorded history.[citation needed];1872–1902 (30)
Roman Empire;255.66 cm;8 ft 4.65 in;Maximinus Thrax;Emperor of Rome, among the first people known probably having gigantism.[19] Presumed to be exaggerated.;173–238 (aged 64–65)
United States;255 cm;8 ft 4.5 in;Al Tomaini;Height disputed. Claimed to be 8 ft 4 in (254 cm). Guinness stated he was 7 ft 4 in (224 cm)[20] At the age of 12, he was taller than his father, who stood 6 ft 3 in tall. He reportedly had a great-grandfather in Italy who was also of abnormal height.;1912–1962 (50)
Finland;251.4 cm;8 ft 3 in;Väinö Myllyrinne;Claimed to be the tallest living person from 1940 to 1963. Measured 251.4 cm (8 ft 3 in) tall at his peak. A member of the Finnish Defence Forces, Myllyrinne is also considered the tallest soldier ever.;1909–1963 (54)
India;251 cm;8 ft 3 in;Vikas Uppal;Was not measured officially by Guinness.[21] Tallest recorded human in Indian history.[22];1986–2007 (21)
Turkey;251 cm;8 ft 2.8 in[23];Sultan Kösen;The tallest living person since 17 September 2009, as determined by Guinness World Records.[24] He also has the longest hands for a living person: 28.5-centimetre-long (11.22 in).[25];born 1982
United States;248.9 cm;8 ft 2 in;Don Koehler;Guinness listed him as tallest living person for most of 1970s.;1925–1981 (55)
United States;248.9 cm;8 ft 2 in;Bernard Coyne;Coyne's World War I draft registration card, dated 29 August, gave his height as 8 ft (240 cm), although he had reached a height of 8 ft 1.7 in (2.48 m), possibly 8 feet 4 inches (254 cm) by the time of his death.;1897–1921 (23)
Morocco;246 cm;8 ft 1 in[26];Brahim Takioullah;Possesses the world's largest feet at 38 cm (1 ft 3 in).[27];born 1982
Iran;246 cm;8 ft 1 in;Morteza Mehrzad;Tallest man in Iran and Paralympic Athlete[28] Winner of Gold medal as part of Iran men's national sitting volleyball team at Sitting volleyball at the Rio de Janeiro 2016 Summer Paralympics, Sitting volleyball at the Tokyo 2020 Summer Paralympics, Sitting volleyball at the 2018 Jakarta-Palembang Asian Para Games and The Hague 2018 Sitting Volleyball World Championship.;born 1987
India;246 cm;8 ft 1 in;Dharmendra Pratap Singh;Was not officially measured by Guinness World Records. Tallest living Indian person.[29];born 1983
Mozambique;245.75 cm;8 ft 0.75 in;Gabriel Estêvão Monjane;Was listed by Guinness World Records as tallest living man from 1988–1989.[30];1944–1990 (45)
France;245 cm;8 ft 0.5 in;Jean-Joseph Brice;"Known as ""Le Géant des Vosges"", Ramonchamp, France; his exact height was controversial.[31]";1835–?
Libya;245 cm;8 ft 0.4 in;Suleiman Ali Nashnush;Libyan basketball player, who was once the tallest man according to Guinness World Records.[citation needed];1943–1991 (47)
United Kingdom;244 cm;8 ft 0 in-8 ft 1 in;James Toller;Tallest person recorded at the time at 8 ft 0 in (244 cm)-8 ft 1 in (246 cm). Measured officially at the age of 18.[32] Is not recognized by The Guinness Book Of World Records.;1798–1818 (20)
China;244 cm;8 ft 0 in;Zhan Shichai;Was not measured by Guinness World Record.[33];1841-1847 – 5 November 1893
Pakistan;244 cm;8 ft 0 in;Zia Rasheed;Has not been measured by Guinness.[34];born 1987
Egypt;244 cm;8 ft 0 in;Sa'id Muhammad Ghazi;Claimed to be 9 ft 9.5 in (300 cm).[35][36];1909–1941 (31–32)
Ireland;244 cm;8 ft 0 in;Patrick Cotter O'Brien;Tallest person recorded at the time and the third in medical history to stand at a verified height of 8 ft 0 in (244 cm). Remains examined in 1972, measured, height verified.;1760–1806 (46)
Ghana;244 cm;8 ft 0 in;Charles Sogli;Has not been measured by Guinness, possibly the tallest man in Ghana.[37][38];born 1999
Holy Roman Empire;244 cm;8 ft 0 in;Anton de Franckenpoint;First verified person to reach 8 ft 0 in (2.44 m). Nickname Langer Anton. Skeleton later measured at 244 cm (8 ft 0 in).;fl. ?–1596
